year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes,version,notes
2016,Alabama,AL,1,63,41,US President,"Trump, Donald J.",republican,FALSE,1318255,2123372,20171015,NA
2016,Alabama,AL,1,63,41,US President,"Clinton, Hillary",democrat,FALSE,729547,2123372,20171015,NA
2016,Alabama,AL,1,63,41,US President,"Johnson, Gary",libertarian,FALSE,44467,2123372,20171015,NA
2016,Alabama,AL,1,63,41,US President,,,TRUE,21712,2123372,20171015,NA
2016,Alabama,AL,1,63,41,US President,"Stein, Jill",green,FALSE,9391,2123372,20171015,NA
2016,Alaska,AK,2,94,81,US President,"Trump, Donald J.",republican,FALSE,163387,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,"Clinton, Hillary",democrat,FALSE,116454,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,"Johnson, Gary",libertarian,FALSE,18725,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,,,TRUE,9201,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,"Stein, Jill",green,FALSE,5735,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,"Castle, Darrell L.",constitution party,FALSE,3866,318608,20171015,NA
2016,Alaska,AK,2,94,81,US President,"De La Fuente, Roque """"Rocky""""",no party affiliation,FALSE,1240,318608,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Trump, Donald J.",republican,FALSE,1252401,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Clinton, Hillary",democrat,FALSE,1161167,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Johnson, Gary",libertarian,FALSE,106327,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Stein, Jill",green,FALSE,34345,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,,independent,TRUE,17473,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Castle, Darrell L.",constitution party,TRUE,1058,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,,no party affiliation,TRUE,311,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,,democrat,TRUE,42,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"De La Fuente, Roque """"Rocky""""",american delta party,TRUE,29,2573165,20171015,NA
2016,Arizona,AZ,4,86,61,US President,"Tittle, Sheila """"Samm""""",we the people,TRUE,12,2573165,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Trump, Donald J.",republican,FALSE,684872,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Clinton, Hillary",democrat,FALSE,380494,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Johnson, Gary",libertarian,FALSE,29829,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"McMullin, Evan",better for america,FALSE,13255,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Stein, Jill",green,FALSE,9473,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Hedges, Jim",prohibition,FALSE,4709,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Castle, Darrell L.",constitution party,FALSE,4613,1130635,20171015,NA
2016,Arkansas,AR,5,71,42,US President,"Kahn, Lynn S.",independent,FALSE,3390,1130635,20171015,NA
2016,California,CA,6,93,71,US President,"Clinton, Hillary",democrat,FALSE,8753788,14181595,20171015,NA
2016,California,CA,6,93,71,US President,"Trump, Donald J.",republican,FALSE,4483810,14181595,20171015,NA
2016,California,CA,6,93,71,US President,"Johnson, Gary",libertarian,FALSE,478500,14181595,20171015,NA
2016,California,CA,6,93,71,US President,"Stein, Jill",green,FALSE,278657,14181595,20171015,NA
2016,California,CA,6,93,71,US President,,,TRUE,120739,14181595,20171015,NA
